epoch,height,modelLabel,modelId,status,capApplies,capFactor,previousEpochRootTotalWeight,rootTotalWeight,subgroupRawWeight,weightScaleFactor,rawConsensusWeight,capWeight,cappedConsensusWeight,countedWeight,scaleDelta,clippedWeight,capUtilization,capHeadroom,capLimitFromPreviousEpoch,appliedScale,pressureRatio,participantCount,nodeCount,source,paramsSource,paramsError
265,4105360,Kimi,moonshotai/Kimi-K2.6,cap_reference_missing,True,0.75,0,904177,377276,1.262086,476154,,476154,476154,98878,0,,,,,,20,44,archive_rpc,archive_rpc_params,
265,4105360,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,0,904177,1227899,0.3593,441184,,441184,441184,-786715,0,,,,1.0,,41,188,archive_rpc,archive_rpc_params,
266,4120751,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,904177,335159,59933,1.262086,75640,678132,75640,75640,15707,0,0.1115417057446043,602492,678132,1.0,0.1115417057446043,8,9,archive_rpc,archive_rpc_params,
266,4120751,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,904177,335159,886097,0.3593,318374,,318374,318374,-567723,0,,,,1.0,,40,141,archive_rpc,archive_rpc_params,
267,4136142,Kimi,moonshotai/Kimi-K2.6,capped,True,0.75,335159,541415,658820,1.262086,831487,251369,251369,251369,172667,580118,3.307834299376614,0,251369,0.3023126038049903,3.307834299376614,27,81,archive_rpc,archive_rpc_params,
267,4136142,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,335159,541415,837821,0.3593,301029,,301029,301029,-536792,0,,,,1.0,,34,134,archive_rpc,archive_rpc_params,
268,4151533,Kimi,moonshotai/Kimi-K2.6,capped,True,0.75,541415,698639,449753,1.262086,567626,406061,406061,406061,117873,161565,1.397883569217433,0,406061,0.715367160771353,1.397883569217433,20,52,archive_rpc,archive_rpc_params,
268,4151533,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,541415,698639,897186,0.3593,322358,,322358,322358,-574828,0,,,,1.0,,43,129,archive_rpc,archive_rpc_params,
269,4166924,Kimi,moonshotai/Kimi-K2.6,capped,True,0.75,698639,679397,450982,1.262086,569177,523979,523979,523979,118195,45198,1.0862591821427958,0,523979,0.9205906071397826,1.0862591821427958,30,56,archive_rpc,archive_rpc_params,
269,4166924,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,698639,679397,773462,0.3593,277904,,277904,277904,-495558,0,,,,1.0,,36,111,archive_rpc,archive_rpc_params,
270,4182315,Kimi,moonshotai/Kimi-K2.6,capped,True,0.75,679397,717467,521085,1.262086,657653,509547,509547,509547,136568,148106,1.2906620979026469,0,509547,0.7747961310904079,1.2906620979026469,23,70,archive_rpc,archive_rpc_params,
270,4182315,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,679397,717467,749902,0.3593,269439,,269439,269439,-480463,0,,,,1.0,,32,109,archive_rpc,archive_rpc_params,
271,4197706,Kimi,moonshotai/Kimi-K2.6,capped,True,0.75,717467,796030,488471,1.262086,616492,538100,538100,538100,128021,78392,1.145682958557889,0,538100,0.8728418211428535,1.145682958557889,23,65,archive_rpc,archive_rpc_params,
271,4197706,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,717467,796030,773186,0.3593,277805,,277805,277805,-495381,0,,,,1.0,,34,111,archive_rpc,archive_rpc_params,
272,4213097,Kimi,moonshotai/Kimi-K2.6,capped,True,0.75,796030,823183,508968,1.262086,642361,597022,597022,597022,133393,45339,1.0759419250881876,0,597022,0.9294181931966604,1.0759419250881876,23,65,archive_rpc,archive_rpc_params,
272,4213097,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,796030,823183,743962,0.3593,267305,,267305,267305,-476657,0,,,,1.0,,35,109,archive_rpc,archive_rpc_params,
273,4228488,Kimi,moonshotai/Kimi-K2.6,capped,True,0.75,823183,758715,631147,1.262086,796561,617387,617387,617387,165414,179174,1.2902134317697003,0,617387,0.7750655630893303,1.2902134317697003,30,81,archive_rpc,archive_rpc_params,
273,4228488,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,823183,758715,693586,0.3593,249205,,249205,249205,-444381,0,,,,1.0,,39,108,archive_rpc,archive_rpc_params,
274,4243879,Kimi,moonshotai/Kimi-K2.6,capped,True,0.75,758715,766804,524596,1.262086,662085,569036,569036,569036,137489,93049,1.1635204099564878,0,569036,0.8594606432708791,1.1635204099564878,24,73,archive_rpc,archive_rpc_params,
274,4243879,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,758715,766804,723077,0.3593,259801,,259801,259801,-463276,0,,,,1.0,,38,110,archive_rpc,archive_rpc_params,
275,4259270,Kimi,moonshotai/Kimi-K2.6,capped,True,0.75,766804,736925,589904,1.262086,744509,575103,575103,575103,154605,169406,1.2945663646338135,0,575103,0.7724594329954373,1.2945663646338135,24,80,archive_rpc,archive_rpc_params,
275,4259270,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,766804,736925,713728,0.3593,256442,,256442,256442,-457286,0,,,,1.0,,39,112,archive_rpc,archive_rpc_params,
276,4279520,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,736925,798029,629257,0.78,490820,552693,490820,490820,-138437,0,0.8880517755788476,61873,552693,1.0,0.8880517755788476,23,83,archive_rpc,archive_rpc_params,
276,4279520,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,736925,798029,735831,0.3593,264384,,264384,264384,-471447,0,,,,1.0,,39,126,archive_rpc,archive_rpc_params,
277,4290052,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,798029,502534,305822,0.78,238541,598521,238541,238541,-67281,0,0.3985507609590975,359980,598521,1.0,0.3985507609590975,22,38,archive_rpc,archive_rpc_params,
277,4290052,MiniMax,MiniMaxAI/MiniMax-M2.7,under_cap,True,0.75,798029,502534,5424,0.3024,1640,598521,1640,1640,-3784,0,0.0027400876493890772,596881,598521,1.0,0.0027400876493890772,1,1,archive_rpc,archive_rpc_params,
277,4290052,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,798029,502534,765987,0.3593,275219,,275219,275219,-490768,0,,,,1.0,,42,129,archive_rpc,archive_rpc_params,
278,4305443,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,502534,444033,250506,0.78,195394,376900,195394,195394,-55112,0,0.5184239851419474,181506,376900,1.0,0.5184239851419474,21,32,archive_rpc,archive_rpc_params,
278,4305443,MiniMax,MiniMaxAI/MiniMax-M2.7,under_cap,True,0.75,502534,444033,166036,0.3024,50209,376900,50209,50209,-115827,0,0.13321570708410718,326691,376900,1.0,0.13321570708410718,11,19,archive_rpc,archive_rpc_params,
278,4305443,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,502534,444033,664035,0.3593,238587,,238587,238587,-425448,0,,,,1.0,,41,118,archive_rpc,archive_rpc_params,
279,4320834,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,444033,546414,250787,0.78,195613,333024,195613,195613,-55174,0,0.5873840924377822,137411,333024,1.0,0.5873840924377822,18,33,archive_rpc,archive_rpc_params,
279,4320834,MiniMax,MiniMaxAI/MiniMax-M2.7,under_cap,True,0.75,444033,546414,625942,0.3024,189284,333024,189284,189284,-436658,0,0.5683794561352935,143740,333024,1.0,0.5683794561352935,18,79,archive_rpc,archive_rpc_params,
279,4320834,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,444033,546414,549293,0.3593,197360,,197360,197360,-351933,0,,,,1.0,,39,97,archive_rpc,archive_rpc_params,
280,4336225,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,546414,570437,244050,0.78,190359,409810,190359,190359,-53691,0,0.4645055025499622,219451,409810,1.0,0.4645055025499622,19,33,archive_rpc,archive_rpc_params,
280,4336225,MiniMax,MiniMaxAI/MiniMax-M2.7,under_cap,True,0.75,546414,570437,937539,0.3024,283511,409810,283511,283511,-654028,0,0.6918108391693711,126299,409810,1.0,0.6918108391693711,19,104,archive_rpc,archive_rpc_params,
280,4336225,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,546414,570437,328681,0.3593,118095,,118095,118095,-210586,0,,,,1.0,,35,72,archive_rpc,archive_rpc_params,
281,4351616,Kimi,moonshotai/Kimi-K2.6,under_cap,True,0.75,570437,704835,384612,0.78,299997,427827,299997,299997,-84615,0,0.7012110035131023,127830,427827,1.0,0.7012110035131023,23,45,archive_rpc,archive_rpc_params,
281,4351616,MiniMax,MiniMaxAI/MiniMax-M2.7,under_cap,True,0.75,570437,704835,984400,0.3024,297682,427827,297682,297682,-686718,0,0.6957999378253359,130145,427827,1.0,0.6957999378253359,21,113,archive_rpc,archive_rpc_params,
281,4351616,Qwen,Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,initial_exempt,False,0.75,570437,704835,348957,0.3593,125380,,125380,125380,-223577,0,,,,1.0,,37,69,archive_rpc,archive_rpc_params,
